N,Advertiser,Product,Artist,Song,Year,Title,Link,RawInfo
11,Applebee’s All You Can Eat,,Andrea True,"More, More, More",2019,2019 Applebee’s All You Can Eat Commercial Song – More More More,https://www.tvadvertmusic.com/applebees-all-you-can-eat-more-like-it/,"Applebee’s Grill & Bar choose the ideal song to promote their All You Can Eat menu in this latest TV commercial, which gives us a look at such tasty dishes as Double Crunch Shrimp, Chicken Tenders, Riblets and their Classic Fries.Ad Music: More, More, More. Singer: Andrea True.Download or stream from Amazon.Featuring the lyrics “More, more, more. How do you like it?”, this AYCE July 2019 Applebee’s commercial song was recorded by the American disco music singer Andrea True and was released as a single in 1976. The song went on to peak at number 4 on the US Billboard Hot 100.11 July 2019"
12,Mercedes-Benz Summer Event,,Layup,Side by Side,2019,"2019 Mercedes-Benz Summer Event Commercial Song – Dog Rescue, Winding Roads",https://www.tvadvertmusic.com/mercedes-benz-summer-event-commercial-dog/,"With the latest Mercedes-Benz USA Summer Event now running, the company has just re-released their ‘Rescue’ commercial video that encourages viewers to “Add a new member to the family”.The video follows a family as they stop by an animal rescue center to pick up a dog and give them a loving new home. During the journey back home in their Mercedes, the family and their lovely new dog stop for ice creams, before heading to some fields for a game of fetch.Ad Music: Side by Side. Singer: Layup.Download via Amazon.com.The Summer 2019 Mercedes commercial song, which includes the lyrics “these winding roads will lead me home”, is a single called ‘Side by Side’. The song was recorded and released in 2017 by music producer Chad Copelin and vocalist Chris Henderson, who collectively go by the name of Layup.July 2, 2019"
13,Gold Peak Real Brewed Iced Tea,,Big Little Lions,This Road with You,2019,Gold Peak Real Brewed Iced Tea Commercial Song – Comforts of Home,https://www.tvadvertmusic.com/video-gold-peak-real-brewed-tea-home/,"The theme of this new TV commercial for Gold Peak Real Brewed Tea is the ‘Real Comforts of Home’ which, in the video, include such things as family pets, food, and home entertainment.The ad also shows an actress laying back in the sun on the hood of a car, which the ad describes as the “Real front porch”.Ad Music: This Road with You. Artist: Big Little Lions.Download or stream from Amazon.This July 2019 Gold Peak Real Brewed Iced Tea commercial song is a tune called ‘This Road with You’ that was released for download in 2015 by the American folk-pop music duo Big Little Lions, who consist of singer-songwriters Helen Austin and Paul Otten. This song is taken from the group’s ‘A Little Frayed, A Little Torn’ album.July 1 2019"
14,Heinz Ketchup,,The Turtles,Happy Together,2019,Heinz Ketchup Commercial Song – Happy Together,https://www.tvadvertmusic.com/video-heinz-ketchup-commercial-happy-together/,"This short and simple TV commercial for Heinz Ketchup shows a bottle of the sauce being poured generously over a plate of crinkle cut fries, to the soundtrack of a 60’s pop-rock classic.The video finishes with a picture of the bottle next to the tagline ‘Nothing Else Tastes Like Heinz’.Heinz Advert Music: Happy Together. Artist: The Turtles.Download or stream from Amazon.As you’ve probably guessed from the lyrics and the title of this ad, this Heinz Ketchup commercial song is indeed called ‘Happy Together’. The tune was recorded by Los Angeles rock band The Turtles and reached number 1 in 1967 on the US Billboard Hot 100.1 July 2019"
15,Budweiser Discovery Reserve,,Norman Greenbaum,Spirit in the Sky,2019,Budweiser Discovery Reserve Commercial – Moon Landing Aniversary,https://www.tvadvertmusic.com/video-budweiser-discovery-reserve-commercial-moon/,This TV commercial introduces us to Budweiser Discovery Reserve: A beer that’s been brewed specially to celebrate the 50th anniversary of the Apollo 11 moon landing. This ‘Space Beer’ is described in the ad video as “An American red larger with a hint of toffee and a crisp finish”. Sounds tasty.The ingredients and flavours of this larger have apparently been inspired by an archival recipe that was around during the time of the 1969 moon mission. The beer has been brewed with medium-roast Voyager barley which gives it a reddish color.Ad Music: Spirit in the Sky. Artist: Norman Greenbaum.Download or stream from Amazon.This 2019 Discovery Reserve Budweiser commercial song is ‘Spirit in the Sky’ that was fittingly recorded in 1969 by American musician and singer-songwriter Norman Greenbaum.June 28 2019
16,Bose,,SOAK,Knock Me Off My Feet,2019,Bose Commercial – Noise Cancelling Augmented Headphones 700 – Song by SOAK,https://www.tvadvertmusic.com/bose-commercial-noise-cancelling-headphones-700/,"This latest TV commercial for Bose Noise Cancelling Headphones 700 shows two women and a man wearing the augmented headphones while out and about, listening to their favourite music while selectively blocking out all the unwanted noises.The ad promotes the 700’s as featuring Unrivaled Voice Pickup, World-Class Sound Management and Enabled with Bose AR.Advert Music: Knock Me Off My Feet. Artist: SOAK.Download or stream from Amazon.This Noise Cancelling Headphones 2019 Bose commercial song is a track called ‘Knock Me Off My Feet’, which was released for download earlier this year by Northern Irish singer-songwriter and musician SOAK as part of their ‘Grim Town’ album.June 28 2019"
17,Holiday Inn,,Raffi,The More We Get Together,2019,2019 Holiday Inn Commercial Song – We’re there. So you can be too,https://www.tvadvertmusic.com/video-holiday-inn-commercial-there/,"Showing friends and families of all ages enjoying each others company, this new 2019 TV commercial video for Holiday Inn and Holiday Inn Express hotels & resorts tells us “We’re there. So you can be too”.Advert Music: The More We Get Together.This Holiday Inn commercial song is a piece of piano music that may sound somewhat familiar to you, while not being obvious where from. The soundtrack is, in fact, a slowed down instrumental version of a song called ‘The More We Get Together’, which is a folk song that’s probably best known now as a children’s singalong performed by Raffi. In reality though, this tune has been around for centuries, having originally come from Austrian bagpiper Marx Augustin’s 1679 Viennese tune ‘Oh du lieber Augustin’.23 June 2019"
18,Powerade,,Lady Bri,Do What I Do,2019,2019 Powerade Commercial Song with US Soccer Player Crystal Dunn,https://www.tvadvertmusic.com/video-powerade-commercial-soccer-player-crystal-dunn/,"With the US women’s national soccer team currently flying high over in France at the FIFA World Cup, sports drink brand Powerade have just launched this new ‘Making of a Champion – See The Power. Be The Power’ TV commercial.The 45-second ad tells the story of North Carolina Courage winger Crystal Dunn, from practising in her backyard as a young girl, to representing her country and inspiring the next generation of female soccer players.Advert Music: Do What I Do. Artist: Lady Bri.Download or stream from Amazon.This 2019 Powerade commercial song is a track called ‘Do What I Do’ that was released for download last summer by Cleveland singer Lady Bri, whose real name is Brianne Bryant. The song can also be found on the artists ‘Makin’ a Move’ album.17 June 2019"
19,Reebok,,Jacob Plasse,Nails Did’,2019,2019 Reebok Commercial Song – Cardi B Fingernails – Sport The Unexpected,https://www.tvadvertmusic.com/reebok-commercial-cardi-b-nails/,"New York rapper and actress Cardi B stars in this funny new ‘Nails’ Reebok commercial that features the brands ‘Sport The Unexpected’ slogan.The ad spot shows Cardi B having her hair done at the beauty salon when everyone notices the laces undone on one of her white Reebok sneakers. Unable to lean forward to do them up, the Love & Hip Hop reality TV star instead magically extends her fingernails all the way down to her feet to tie those laces. This, of course, all comes to the amazement of her fellow salon customers. Nailed it!Ad Music: Nails Did’. Artist: Jacob Plasse.Despite Cardi B starring in the ad, this 2019 Reebok commercial song was created by New York City composer and music producer Jacob Plasse. The song is titled ‘Nails Did’ and appears to have been recorded specifically for this ‘Sport The Unexpected’ Reebok TV and YouTube ad campaign.July 16 2019"
20,INFINITI QX50,,The Tallest Man On Earth,It Will Follow The Rain,2019,2019 INFINITI QX50 Commercial Song – Luxury Should Be Lived In,https://www.tvadvertmusic.com/infiniti-qx50-commercial-luxury-should-be-lived-in/,"This current TV commercial for the INFINITI QX50 shows a man and woman using the luxury crossover to drive to a variety of locations, from trips to the beach and nights out, to longer journeys to visit family. The ad features the tagline “Luxury Should Be Lived In”.Ad Music: It Will Follow The Rain. Singer: The Tallest Man On Earth.Download or stream from Amazon.This 2019 QX50 Infiniti commercial song is titled ‘It Will Follow the Rain’ and was released for download in 2006. Featuring the lyrics “Have you ever seen the far side of a mountain swallow the sky”, this folk song was recorded by the Swedish musician and singer-songwriter Kristian Matsson, who goes by the stage name The Tallest Man on Earth.25 May 2019"
21,Samsung Refrigerator,,Earl St. Clair,Feeling Alive,2019,Samsung Refrigerator Commercial – Feeling Alive – Song by Earl St. Clair,https://www.tvadvertmusic.com/samsung-refrigerator-commercial-song-feeling-alive/,"Samsung urges viewers to buy more groceries in this new TV commercial because, if you own one of the brands Space Max Twin Cooling Plus refrigerators, you’ll have plenty of room to store them and keep them fresh.Ad Music: Feeling Alive. Singer: Earl St. Clair.Download or stream from iTunes & Amazon.Providing this 2019 Samsung refrigerator commercial song is the American singer-songwriter and record producer Earl St. Clair with his single ‘Feeling Alive’. Featuring the lyrics “If you feel what I’m saying say oh, oh, oh”, the track is taken from the artists 2017 album ‘My Name Is Earl’.May 24 2019"
22,Target,,Carly Rae Jepsen,Now That I Found You,2019,"2019 Target Commercial – Pool Party, Now That I Found You – Song by Carly Rae Jepsen",https://www.tvadvertmusic.com/video-target-commercial-song-now-that-i-found-you/,"The new Target TV commercial shows kids enjoying a summer pool party, or pool partay, with help from floaties, decor, swimwear and other items that are currently available to buy from Target.Ad Music: Now That I Found You. Singer: Carly Rae Jepsen.Download or preview on Amazon & iTunes.Featuring the lyrics “Don’t give it up. I want it all”, this May 2019 Target commercial song is titled ‘Now That I Found You’. The single was recorded by Canadian singer-songwriter and actress Carly Rae Jepsen and was released for download earlier this year as part of her fourth studio album ‘Dedicated’. You may recognize this song from the season 3 trailer for Netflix reality TV series Queer Eye.May 22 2019"
23,Mazda CX-5,,Haley Reinhart,Dreams (The Cranberries cover),2019,"2019 Mazda CX-5 Commercial Song – Dreams – Drive Inspired, Feel Alive",https://www.tvadvertmusic.com/mazda-cx-5-commercial-dreams-singer-drive-inspired/,"Mazda USA has just released this new “Drive Inspired – Feel Alive” TV commercial to promote their 2019 CX-5.The advert video shows a couple getting into this mid-size SUV to escape the heavy rain, but the shower stops and the sun comes out the moment the man turns the CX-5’s ignition. Then once out driving on the open roads, the pair begin moving clouds and sun in the sky with just their hands, surely a signal that they’re dreaming.Advert Music: Dreams (The Cranberries cover). Singer: Haley Reinhart.Download or preview on Amazon & iTunes.Opening with the lyrics “Oh my life, is changing every day”, the Mazda CX-5 commercial song featured here is a cover of the excellent 1992 single ‘Dreams’ that was originally written and recorded by Irish rock band The Cranberries. The cover version of the song playing in this Mazda ad is performed by the Californian actress and singer-songwriter Haley Reinhart and has now been released for download as a full-length single.April 20 2019"
24,GEICO,,Backstreet Boys,I Want It That Way,2019,"2019 GEICO Commercial – Karaoke Singing, I Want It That Way – Song by Backstreet Boys",https://www.tvadvertmusic.com/geico-commercial-karaoke-singing-want-it-that-way-backstreet-boys/,"GEICO Insurance’s new TV commercial features a man singing karaoke at a remote research station that appears to be located somewhere like the Arctic or Antarctica.The guy’s coworkers can’t believe he brought his karaoke machine with him but one is in more disbelief about how easy it was to save hundreds of dollars on his car insurance using GEICO. But for another colleague, those karaoke vocals are too much to take and needs to be physically restrained from walking out into the freezing cold blizzard.Ad Music: I Want It That Way. Original Artist: Backstreet Boys.Download or stream from iTunes & Amazon.This latest May 2019 GEICO commercial song that the actor is singing his own unique version of is ‘I Want It That Way’, which was released as a single in 1999 by boy band the Backstreet Boys. The song is taken from the group’s third studio album ‘Millennium’ and peaked at number 6 on the US Billboard Hot 100 countdown.May 20 2019"
25,VW Arteon,,Love,Always See Your Face,2019,2019 VW Arteon Commercial – Look Down – Song by Love,https://www.tvadvertmusic.com/vw-arteon-commercial-song-look-down-volkswagen/,"Volkswagen introduces viewers to their all-new 2019 Arteon in this latest ‘Look Down in Awe’ TV commercial. As the title hints at, the ad video is filmed from a driver or passengers view as it shows pedestrians looking down on them in VW’s luxury four-door fastback car.The film, which is played back to us in slow motion, finishes with the tagline ‘Go ahead, look down on it’. So if you enjoy being looked down upon by people on the street and SUV drivers, it appears this Volkswagen Arteon could be just the automobile for you.Advert Music: Always See Your Face. Artists: Love.Download from Amazon or iTunes.Opening with the lyrics “Won’t somebody please, help me with my miseries”, this VW Arteon commercial song is called Always See Your Face and was recorded by Los Angeles band Love. The psychedelic and folk-rock group released this song in 1969 as part of their fourth album Four Sail.April 13, 2019"
26,Volkswagen Jetta GLI,,Mark Lanegan,Beast In Me (Johnny Cash cover),2019,2019 Volkswagen Jetta GLI Commercial Song – The Beast In Me – Traffic Lights,https://www.tvadvertmusic.com/vw-jetta-gli-commercial-beast-in-me-lights/,"Volkswagen USA’s new TV commercial for their Jetta GLI shows a young woman growing increasingly impatient as she’s forced to wait for ages at an intersection for a red light.We’ve all had that experience late at night without another car in sight, wondering if the lights are ever going to change but, despite her eagerness, the actress manages to hold back until they eventually turn green. At that point, the girl shifts firmly into gear and puts the performance VW sedans 228hp engine and limited-slip differential to use as she pulls away. But with this being the modern world of automobiles and advertising, there’s no dramatic wheel spinning or loud engine revving to be heard. I guess we’ll just have to imagine the feeling of power and acceleration.Advert Music: Beast In Me (Johnny Cash cover). Singer: Mark Lanegan.Download from Amazon or iTunes.Any of you country music fans out there will likely recognize this 2019 Volkswagen Jetta GLI commercial song as a cover of the Johnny Cash track Beast in Me, but are perhaps wondering who sings this cover. After all, those clearly aren’t the distinctive vocals of The Man In Black. The version playing in this VW TV ad was actually recorded by the State of Washington singer-songwriter and alternative rock musician Mark Lanegan, whose cover featured on the soundtrack album of 2011 comedy film The Hangover Part II.May 6, 2019"
27,Juventus & Ronaldo Jeep,,Konata Small,Ain’t Gonna Stop Me,2019,2019 Juventus & Ronaldo Jeep Commercial – Ain’t Gonna Stop Me,https://www.tvadvertmusic.com/video-jeep-juventus-ronaldo-commercial-song/,"Ahead of kick-off in the new 2019 to 2020 football (soccer) season, Juventus sponsor Jeep has launched this new Terrains TV commercial that tells the story of players like Ronaldo practising as kids in their home countries.The ad video then mixes this footage with that of the grown-up footballers playing for Juventus and clips of Jeep vehicles being driven off-road. The advert concludes with Jeep’s regular and fitting slogan “Legends aren’t born, they’re made”.Advert Music: Ain’t Gonna Stop Me. Artist: Konata Small.Download or stream from Amazon.This Juventus & Ronaldo 2019 Jeep commercial song is a track called ‘Ain’t Gonna Stop Me’ that was recorded by the Florida rapper Konata Small. The full song was released for download at the beginning of this month.July 1 2019"
28,Levi’s,,Jordan Mackampa,Battlecry,2019,2019 Levi’s Commercial Song – Battlecry – Your Voice Is The Difference,https://www.tvadvertmusic.com/2019/04/levis-commercial-battlecry-your-voice-difference/,"Denim brand Levi’s tells viewers that “Your Voice Is The Difference” in this latest 2019 TV commercial, which shows young men and women using their words to positively influence those around them.Levis Advert Music: Battlecry. Singer: Jordan Mackampa.Preview or download from iTunes or Amazon.Opening with the fitting lyrics “I won’t stay silent”, this April ‘Use Your Voice’ Live In Levi’s commercial features the song Battlecry. This music track was recorded by the Coventry and London-based soul singer-songwriter Jordan Mackampa and was released for download in 2017 as part of the artists four-song Tales from the Broken EP.April 16 2019"
29,Samsung QLED 8K TV,,Johnny Nash,I Can See Clearly Now (cover),2019,Samsung QLED 8K TV Commercial Song – I Can See Clearly,https://www.tvadvertmusic.com/2019/04/samsung-qled-8k-commercial-i-can-see-clearly/,"All the big tech brands missions to sell us higher and higher resolution televisions moves into the next phase with this new ‘I Can See Clearly’ commercial for Samsung QLED 8K TV’s.The ad video encourages viewers to “Stop Watching, Start Experiencing. Stop Viewing, Start Feeling. Stop Missing, Start Discovering”. All you’ll need now is plenty of 8K content to watch on it.Advert Music: I Can See Clearly Now (cover). Original Singer: Johnny Nash.Download the original from iTunes, Amazon.com or Amazon UK.This 2019 Samsung QLED 8K TV commercial song is a cover of I Can See Clearly Now, which was originally recorded by the American singer-songwriter Johnny Nash. We’ll update this page if we discover the name of the female vocalist performing this excellent Samsung advert cover version.April 12, 2019"
30,Applebee’s,,Sammy Kershaw,Grillin’ and Chillin’,2019,2019 Applebee’s Commercial Song – Grillin And Chillin,https://www.tvadvertmusic.com/2019/04/video-applebees-commercial-combos-grillin-chillin/,"Applebee’s tell us about their latest Bigger, Bolder Grill Combos in this new ‘Eatin’ Good in the Neighborhood’ TV commercial.The ad video is enough to get your mouth watering as the brand give us a look at their selections of meats and sides, with prices starting at $12.99.Ad Music: Grillin’ and Chillin’. Artist: Sammy Kershaw.Download from iTunes or Amazon.As the title of the above YouTube video suggests, this 2019 Applebee’s commercial song is suitably called Grillin’ and Chillin’ and was recorded by the country music singer Sammy Kershaw. This song is taken from the artists 2015 album I Won’t Back Down.April 9, 2019"
31,Gatorade Zero,,Missy Elliott,Pep Rally,2019,Gatorade Zero Commercial Song – Dwyane Wade & Gabrielle Union,https://www.tvadvertmusic.com/2019/03/video-gatorade-zero-dwyane-gabrielle/,"Miami Heat NBA basketball player Dwyane Wade and actress Gabrielle Union star in this 2019 TV commercial for Gatorade Zero, which is a zero sugar electrolytes drink designed to hydrate. The ad video shows Dwyane and Gabrielle competing with each other as they workout hard in the gym.Ad Music: Pep Rally. Artist: Missy Elliott.Download from iTunes or Amazon.The 2019 Gatorade Zero commercial song you hear playing here is called Pep Rally and was released for download in 2016 by rapper, songwriter and music producer Missy Elliott. Pep Rally was produced by Pharrell Williams and has previously been used in an ad for the Amazon Echo.March 28, 2019"
32,Transitions Optical,,Parov Stelar (feat. Graham Candy),The Sun,2019,Transitions Optical Commercial Song – Light Under Control,https://www.tvadvertmusic.com/2019/03/video-transitions-light-under-control/,"Transitions Optical have just released this new commercial to promote their Light Intelligent Lenses, which are designed to automatically adapt to protect your eyes during both the daytime and at night.The video shows a man wearing a pair of Transitions glasses while riding a motorbike, going indoors to a record store, and later working as a DJ at an outdoor evening party.Ad Music: The Sun. Artists: Parov Stelar (feat. Graham Candy).Download or preview on Amazon & iTunes.This 2019 Transitions commercial song is titled The Sun and was recorded by the Austrian musician, producer and DJ, Parov Stelar. The track was released for download in 2015 and features New Zealand singer and actor Graham Candy.March 24, 2019"
33,Secret Deodorant,,Amanda Delara,We Don’t Run From Anyone,2019,Secret Deodorant Commercial Song – Women’s Soccer Players,https://www.tvadvertmusic.com/2019/03/video-secret-deodorant-womens-soccer/,"Olympic gold medalist, FIFA Women’s World Cup champion and Orlando Pride forward Alex Morgan stars alongside other female soccer players in this 2019 commercial for Secret Deodorant.In addition to promoting the deodorants and antiperspirants brand, this ad also supports the Girls Leading Girls organization and equal pay for all.Ad Music: We Don’t Run From Anyone. Artist: Amanda Delara.Download from Amazon & iTunes.This 2019 Secret Deodorant commercial song is titled We Don’t Run From Anyone and was recorded by the Norwegian-Iranian singer Amanda Delara. This song is taken from the Oslo-based artists 2018 pop album Running Deep.March 22, 2019"
34,Dos Equis,,Bonnie Tyler,Total Eclipse of the Heart,2019,Dos Equis Commercial 2019 – Total Eclipse of the Heart,https://www.tvadvertmusic.com/video-dos-equis-commercial-total-eclipse-heart/,"This new ‘Keep It Interesante’ comedy Dos Equis commercial sees a woman ordering a beer, a side of nachos, hot wings and some french fries from a bar, using the medium of song. Set back in the 80’s, the ad video features lots of big hair and some equally big vocals.Original Ad Music: Total Eclipse of the Heart. Original Artist: Bonnie Tyler.Stream or download from Amazon & iTunes.The Summer 2019 Dos Equis commercial song getting a comedic rewording here is the 1983 power ballad “Total Eclipse of the Heart”, which was originally written by Jim Steinman and sung by British pop, rock and country singer Bonnie Tyler.April 16 2019"
35,Skechers D’Lites 3.0 2019,,PEACEriot,Bish Plz,2019,Skechers D’Lites 3.0 2019 Commercial Song – Dance,https://www.tvadvertmusic.com/2019/03/video-skechers-dlites-commercial-dance/,"Here’s the new ‘Dance’ commercial video for Skechers D’Lites 3.0, which shows women dancing while wearing different color variations of the brands new sneakers.Ad Music: Bish Plz. Artist: PEACEriot.Download from Amazon.This 2019 Skechers D’Lites 3.0 commercial song is a track called Bish Plz that was released for download in 2017 by PEACEriot. The full-length song is available to download or stream from Amazon.March 2, 2019"
